duetime,startnode,endnode,starttime,arrivaltime,transporttime,handlingtime,hops
3.35,Gent,Antwerpen,1.35,4.15,0.7500000000000004,0.40000000000000036,1
5.72,Gent,Antwerpen,0.72,4.25,0.7500000000000004,0.5,1
7.79,Gent,Antwerpen,2.79,4.35,0.7500000000000004,0.5999999999999996,1
4.16,Gent,Brussel,1.16,5.649999999999999,0.75,0.3999999999999986,1
6.36,Gent,Brussel,4.36,5.749999999999998,0.75,0.4999999999999982,1
3.34,Brussel,Antwerpen,1.34,6.149999999999999,0.75,0.3999999999999986,1
6.97,Brussel,Antwerpen,4.97,6.249999999999998,0.75,0.4999999999999982,1
7.6,Brussel,Antwerpen,3.5999999999999996,6.349999999999998,0.75,0.5999999999999979,1
12.19,Namur,Gent,0.19,6.649999999999999,2.2500000000000004,1.1999999999999993,3
16.9,Namur,Gent,1.9,7.049999999999999,2.2500000000000004,1.2999999999999994,3
7.71,Gent,Brussel,4.71,7.149999999999999,0.75,0.3999999999999986,1
17.1,Namur,Gent,0.1,7.149999999999999,2.2500000000000004,1.5999999999999988,3
9.8,Antwerpen,Brussel,4.8,7.449999999999999,0.75,0.1999999999999993,1
12.19,Gent,Brussel,6.1899999999999995,7.949999999999999,0.75,0.1999999999999993,1
9.58,Mons,Antwerpen,2.58,9.149999999999999,2.25,1.1999999999999957,3
13.21,Mons,Antwerpen,0.21,9.249999999999998,2.25,1.4999999999999947,3
14.24,Mons,Antwerpen,4.24,9.349999999999998,2.25,1.7999999999999936,3
14.7,Brussel,Brugge,3.7,9.649999999999999,1.5,0.8999999999999968,2
16.34,Brussel,Brugge,5.34,9.749999999999998,1.5,1.099999999999996,2
16.990000000000002,Brussel,Brugge,6.99,9.849999999999998,1.5,0.7999999999999972,2
17.700000000000003,Gent,Namur,5.700000000000001,10.399999999999999,2.25,1.3999999999999932,3
18.31,Gent,Namur,2.31,10.499999999999998,2.25,1.6999999999999922,3
22.72,Gent,Namur,4.720000000000001,10.599999999999998,2.25,1.8999999999999915,3
12.52,Brussel,Antwerpen,10.52,12.149999999999999,0.75,0.3999999999999986,1
17.5,Mons,Antwerpen,7.5,12.249999999999998,2.25,1.2999999999999954,3
18.68,Mons,Antwerpen,7.68,12.349999999999998,2.25,1.5999999999999943,3
15.93,Antwerpen,Brussel,11.93,13.45,0.75,0.1999999999999993,1
18.47,Gent,Brussel,12.469999999999999,13.699999999999998,0.75,0.4499999999999975,1
7.98,Gent,Antwerpen,3.98,14.149999999999999,0.75,0.3999999999999986,1
10.9,Gent,Antwerpen,7.9,14.249999999999998,0.75,0.4999999999999982,1
15.68,Gent,Antwerpen,12.68,14.349999999999998,0.75,0.5999999999999979,1
17.1,Brussel,Antwerpen,11.1,14.649999999999999,0.75,0.3999999999999986,1
20.48,Mons,Antwerpen,5.48,14.749999999999998,2.25,1.699999999999994,3
22.549999999999997,Mons,Antwerpen,10.549999999999999,14.849999999999998,2.25,1.4999999999999947,3
20.52,Namur,Gent,3.52,15.149999999999999,2.25,0.9999999999999964,3
15.999999999999998,Gent,Brussel,13.999999999999998,16.65,0.7499999999999982,0.3999999999999986,1
19.72,Gent,Brussel,14.719999999999999,16.75,0.7499999999999982,0.5,1
19.9,Brussel,Brugge,11.9,17.950000000000003,1.5,0.5000000000000018,2
18.79,Antwerpen,Ronse,7.79,18.500000000000007,1.75,1.3000000000000131,3
18.79,Antwerpen,Ronse,12.79,18.60000000000001,1.75,1.6000000000000156,3
19.4,Gent,Brussel,17.4,19.150000000000006,0.75,0.4000000000000057,1
18.98,Gent,Namur,8.98,20.300000000000004,2.25,1.1500000000000004,3
20.19,Gent,Namur,8.190000000000001,20.400000000000006,2.25,1.450000000000001,3
18.490000000000002,Brugge,Mons,7.49,21.150000000000006,2.5,1.500000000000016,4
21.72,Brugge,Mons,2.72,21.250000000000007,2.5,1.700000000000017,4
27.59,Brugge,Mons,13.59,21.35000000000001,2.4999999999999982,2.0000000000000213,4
21.759999999999998,Brussel,Antwerpen,17.759999999999998,22.150000000000006,0.75,0.4000000000000057,1
22.78,Mons,Antwerpen,7.779999999999999,22.250000000000007,2.25,1.6000000000000032,3
23.549999999999997,Mons,Antwerpen,8.549999999999999,22.35000000000001,2.25,1.600000000000012,3
23.0,Gent,Namur,16.0,22.400000000000006,2.25,1.3000000000000185,3
24.13,Gent,Namur,16.13,22.500000000000007,2.25,1.6000000000000227,3
26.23,Gent,Namur,15.23,22.60000000000001,2.2499999999999982,1.8000000000000185,3
23.97,Namur,Gent,14.969999999999999,22.650000000000006,2.25,1.3000000000000185,3
25.66,Namur,Gent,17.66,22.750000000000007,2.25,1.6000000000000227,3
21.73,Antwerpen,Brussel,15.73,23.450000000000003,0.75,0.20000000000000284,1
24.15,Gent,Brussel,22.15,23.650000000000006,0.75,0.4000000000000057,1
25.46,Gent,Brussel,23.46,24.650000000000006,0.75,0.4000000000000057,1
28.43,Gent,Brussel,23.43,24.750000000000007,0.75,0.5000000000000071,1
25.86,Namur,Gent,15.86,25.050000000000004,2.25,1.1000000000000156,3
23.479999999999997,Brussel,Antwerpen,21.479999999999997,26.150000000000006,0.75,0.4000000000000057,1
26.869999999999997,Brussel,Antwerpen,20.869999999999997,26.250000000000007,0.75,0.5000000000000071,1
29.759999999999998,Brussel,Antwerpen,24.759999999999998,26.35000000000001,0.75,0.6000000000000085,1
26.15,Brussel,Brugge,20.15,26.650000000000006,1.5,1.0000000000000142,2
27.11,Brussel,Brugge,18.11,26.750000000000007,1.5,0.70000000000001,2
30.349999999999998,Brussel,Brugge,22.349999999999998,26.85000000000001,1.5,1.0000000000000142,2
31.08,Gent,Namur,19.08,26.900000000000006,2.25,1.3000000000000185,3
31.169999999999998,Gent,Namur,22.169999999999998,27.000000000000007,2.25,1.6000000000000227,3
31.689999999999998,Gent,Namur,17.689999999999998,27.10000000000001,2.25,1.40000000000002,3
29.67,Antwerpen,Brussel,25.67,27.550000000000004,0.75,0.30000000000000426,1
21.99,Mons,Antwerpen,13.989999999999998,27.650000000000006,2.25,1.200000000000017,3
32.35,Antwerpen,Brussel,26.35,27.650000000000006,0.75,0.4000000000000057,1
29.069999999999997,Brussel,Antwerpen,25.069999999999997,27.750000000000007,0.75,0.5000000000000071,1
29.899999999999995,Brussel,Antwerpen,25.899999999999995,27.85000000000001,0.75,0.6000000000000085,1
28.97,Brussel,Brugge,24.97,28.450000000000003,1.5,0.4000000000000057,2
29.419999999999995,Brussel,Antwerpen,27.419999999999995,28.650000000000006,0.75,0.4000000000000057,1
32.22,Brussel,Antwerpen,26.219999999999995,28.750000000000007,0.75,0.5000000000000071,1
34.769999999999996,Mons,Antwerpen,23.769999999999996,28.85000000000001,2.25,1.40000000000002,3
33.019999999999996,Gent,Brussel,27.02,29.150000000000006,0.75,0.4000000000000057,1
28.33,Namur,Gent,21.33,29.650000000000006,2.25,1.200000000000017,3
33.15,Namur,Gent,22.15,29.750000000000007,2.25,1.5000000000000213,3
35.45,Namur,Gent,25.45,29.85000000000001,2.25,1.40000000000002,3
37.08,Namur,Gent,24.08,30.550000000000004,2.25,1.3000000000000185,3
39.33,Namur,Gent,23.33,30.650000000000006,2.25,1.6000000000000227,3
27.919999999999998,Brugge,Mons,18.919999999999998,31.650000000000006,2.5,1.6000000000000227,4
29.15,Brugge,Mons,20.15,31.750000000000007,2.5,2.0000000000000284,4
31.11,Brugge,Mons,15.11,31.85000000000001,2.4999999999999982,2.3000000000000256,4
33.86999999999999,Brussel,Antwerpen,29.869999999999994,32.150000000000006,0.75,0.4000000000000057,1
34.879999999999995,Mons,Antwerpen,23.879999999999995,32.25000000000001,2.25,1.5000000000000213,3
35.06999999999999,Namur,Gent,27.069999999999997,32.35000000000001,2.25,1.3000000000000185,3
36.269999999999996,Mons,Antwerpen,24.269999999999996,32.35000000000001,2.25,1.5000000000000213,3
41.42,Namur,Gent,26.419999999999998,32.55000000000001,2.25,1.8000000000000256,3
33.2,Gent,Namur,23.2,33.400000000000006,2.25,1.200000000000017,3
35.16,Gent,Namur,26.16,33.50000000000001,2.25,1.3000000000000185,3
37.71,Gent,Namur,27.71,33.60000000000001,2.25,1.6000000000000227,3
36.62,Gent,Brussel,32.62,34.150000000000006,0.75,0.4000000000000057,1
32.76,Gent,Antwerpen,26.759999999999998,34.550000000000004,0.75,0.30000000000000426,1
33.47,Gent,Antwerpen,31.47,34.650000000000006,0.75,0.4000000000000057,1
36.92,Gent,Namur,29.92,35.000000000000014,2.25,1.5500000000000256,3
41.21,Gent,Namur,28.21,35.100000000000016,2.25,1.8500000000000298,3
39.11,Gent,Brussel,33.11,35.150000000000006,0.75,0.4000000000000057,1
46.06,Gent,Namur,28.060000000000002,35.20000000000002,2.25,2.150000000000034,3
31.349999999999998,Antwerpen,Ronse,19.349999999999998,35.900000000000006,1.75,1.200000000000017,3
36.62,Gent,Antwerpen,33.62,35.95,0.75,0.20000000000000284,1
32.269999999999996,Antwerpen,Ronse,22.269999999999996,36.00000000000001,1.75,1.5000000000000213,3
37.419999999999995,Mons,Antwerpen,29.419999999999995,37.150000000000006,2.25,1.3000000000000256,3
37.989999999999995,Mons,Antwerpen,24.989999999999995,37.25000000000001,2.25,1.6000000000000298,3
39.379999999999995,Brussel,Antwerpen,35.379999999999995,37.35000000000001,0.75,0.6000000000000085,1
39.08,Antwerpen,Ronse,32.08,37.500000000000014,1.75,1.3000000000000256,3
41.55,Antwerpen,Ronse,33.55,37.600000000000016,1.75,1.4500000000000242,3
38.24,Antwerpen,Brussel,36.24,37.650000000000006,0.75,0.4000000000000057,1
37.73,Brussel,Brugge,33.73,37.650000000000006,1.5,0.8000000000000114,2
41.98,Antwerpen,Ronse,32.98,37.70000000000002,1.75,1.7000000000000313,3
38.39,Antwerpen,Brussel,35.39,37.75000000000001,0.75,0.5000000000000071,1
39.94,Brussel,Brugge,30.939999999999998,37.75000000000001,1.5,1.200000000000017,2
42.480000000000004,Antwerpen,Brussel,36.480000000000004,37.85000000000001,0.75,0.6000000000000085,1
45.26,Brussel,Brugge,34.26,37.85000000000001,1.5,1.1000000000000156,2
42.73,Antwerpen,Ronse,31.729999999999997,37.900000000000006,1.75,1.6000000000000227,3
44.29,Antwerpen,Ronse,33.29,38.00000000000001,1.75,1.6000000000000227,3
44.75,Antwerpen,Ronse,33.75,38.10000000000001,1.75,1.7500000000000213,3
42.550000000000004,Gent,Namur,32.550000000000004,38.400000000000006,2.25,1.40000000000002,3
44.03,Gent,Namur,30.03,38.50000000000001,2.25,1.7000000000000242,3
45.410000000000004,Brussel,Brugge,35.410000000000004,38.550000000000004,1.5,0.5000000000000071,2
47.9,Gent,Namur,33.9,38.60000000000001,2.25,1.8000000000000256,3
39.599999999999994,Namur,Gent,32.599999999999994,38.650000000000006,2.25,1.5000000000000284,3
46.57,Brussel,Brugge,34.57,38.650000000000006,1.5,1.0000000000000142,2
41.669999999999995,Namur,Gent,32.669999999999995,38.75000000000001,2.25,1.40000000000002,3
42.41,Namur,Gent,32.41,38.85000000000001,2.25,1.7000000000000242,3
42.61999999999999,Mons,Antwerpen,27.619999999999994,39.150000000000006,2.25,1.6000000000000227,3
42.839999999999996,Brussel,Antwerpen,37.839999999999996,39.25000000000001,0.75,0.5000000000000071,1
48.36,Mons,Antwerpen,30.359999999999996,39.35000000000001,2.25,1.6000000000000227,3
46.06999999999999,Namur,Gent,28.069999999999997,39.650000000000006,2.25,1.0000000000000142,3
41.9,Gent,Brussel,36.9,39.650000000000006,0.75,0.4000000000000057,1
46.99,Antwerpen,Ronse,33.99,40.10000000000001,1.75,1.8500000000000227,3
43.17999999999999,Namur,Gent,34.17999999999999,41.050000000000004,2.25,0.70000000000001,3
31.3,Brugge,Mons,12.3,41.250000000000014,2.4999999999999982,2.3000000000000327,4
39.94,Brugge,Mons,28.939999999999998,41.350000000000016,2.5,1.8000000000000327,4
42.73,Brugge,Mons,25.729999999999997,41.45000000000002,2.5,2.5000000000000426,4
45.03,Gent,Brussel,40.03,42.400000000000006,0.75,0.6500000000000057,1
46.88,Gent,Brussel,40.88,42.50000000000001,0.75,0.7500000000000071,1
43.220000000000006,Brussel,Brugge,39.220000000000006,42.650000000000006,1.5,0.8000000000000114,2
48.45,Brussel,Brugge,36.45,42.75000000000001,1.5,1.0000000000000142,2
49.330000000000005,Brussel,Brugge,37.330000000000005,42.85000000000001,1.5,1.200000000000017,2
38.66,Gent,Antwerpen,36.66,43.150000000000006,0.75,0.4000000000000057,1
44.15,Brussel,Antwerpen,41.15,43.150000000000006,0.75,0.4000000000000057,1
42.309999999999995,Gent,Antwerpen,36.309999999999995,43.25000000000001,0.75,0.5000000000000071,1
46.39,Mons,Antwerpen,36.39,43.25000000000001,2.25,1.40000000000002,3
43.65999999999999,Namur,Gent,36.65999999999999,43.35000000000001,2.25,1.200000000000017,3
45.809999999999995,Gent,Antwerpen,41.809999999999995,43.35000000000001,0.75,0.6000000000000085,1
48.51,Mons,Antwerpen,32.51,43.35000000000001,2.25,1.8000000000000256,3
