truckname,startnode,endnode,starttime,endtime,load,capacity
Gent_0,Gent,Brussel,2.3000000000000003,3.0500000000000003,3,3
Gent_1,Gent,Brussel,3.3000000000000003,4.050000000000001,3,3
Namur_0,Namur,Charleroi,3.8000000000000003,4.300000000000001,3,3
Gent_0,Brussel,Gent,3.6,4.35,1,3
Gent_2,Gent,Brussel,3.8000000000000003,4.550000000000001,3,3
Brussel_0,Brussel,Charleroi,3.8000000000000003,4.800000000000001,3,3
Gent_1,Brussel,Gent,4.5,5.25,0,3
Mons_0,Mons,Charleroi,4.799999999999999,5.299999999999999,3,3
Antwerpen_0,Antwerpen,Brussel,4.799999999999999,5.549999999999999,3,3
Namur_0,Charleroi,Namur,5.1,5.6,1,3
Gent_2,Brussel,Gent,5.1,5.85,1,3
Antwerpen_1,Antwerpen,Gent,5.299999999999999,6.049999999999999,3,3
Charleroi_0,Charleroi,Brussel,5.399999999999999,6.399999999999999,3,3
Mons_0,Charleroi,Mons,6.0,6.5,0,3
Brugge_0,Brugge,Gent,5.799999999999999,6.549999999999999,3,3
Gent_0,Gent,Brussel,5.799999999999999,6.549999999999999,3,3
Brussel_0,Charleroi,Brussel,5.699999999999999,6.699999999999999,2,3
Antwerpen_0,Brussel,Antwerpen,6.1,6.85,1,3
Antwerpen_2,Antwerpen,Gent,6.299999999999999,7.049999999999999,3,3
Gent_1,Gent,Antwerpen,6.299999999999999,7.049999999999999,3,3
Mons_1,Mons,Charleroi,6.799999999999999,7.299999999999999,3,3
Gent_2,Gent,Kortrijk,6.799999999999999,7.299999999999999,3,3
Antwerpen_1,Gent,Antwerpen,6.699999999999999,7.449999999999999,2,3
Brugge_0,Gent,Brugge,7.199999999999999,7.949999999999999,2,3
Gent_0,Brussel,Gent,7.299999999999999,8.049999999999999,3,3
Charleroi_0,Brussel,Charleroi,7.199999999999999,8.2,2,3
Brussel_1,Brussel,Antwerpen,7.499999999999998,8.249999999999998,3,3
Antwerpen_2,Gent,Antwerpen,7.5,8.25,0,3
Gent_1,Antwerpen,Gent,7.6,8.35,1,3
Gent_2,Kortrijk,Gent,8.0,8.5,0,3
Mons_1,Charleroi,Mons,8.0,8.5,0,3
Antwerpen_0,Antwerpen,Brussel,7.899999999999999,8.649999999999999,3,3
Charleroi_1,Charleroi,Brussel,7.799999999999999,8.799999999999999,3,3
Kortrijk_0,Kortrijk,Ronse,8.299999999999999,8.799999999999999,3,3
Brussel_2,Brussel,Gent,8.299999999999999,9.049999999999999,3,3
Brussel_0,Brussel,Antwerpen,8.299999999999999,9.049999999999999,3,3
Namur_1,Namur,Charleroi,8.799999999999999,9.299999999999999,3,3
Charleroi_2,Charleroi,Namur,8.799999999999999,9.299999999999999,3,3
Gent_0,Gent,Kortrijk,8.799999999999999,9.299999999999999,3,3
Antwerpen_1,Antwerpen,Brussel,8.799999999999999,9.549999999999999,3,3
Gent_1,Gent,Brussel,8.799999999999999,9.549999999999999,3,3
Gent_2,Gent,Kortrijk,9.099999999999998,9.599999999999998,3,3
Brussel_1,Antwerpen,Brussel,9.1,9.85,1,3
Antwerpen_0,Brussel,Antwerpen,9.2,9.95,2,3
Kortrijk_0,Ronse,Kortrijk,9.5,10.0,0,3
Brussel_0,Antwerpen,Brussel,9.6,10.35,1,3
Brussel_2,Gent,Brussel,9.7,10.45,2,3
Charleroi_1,Brussel,Charleroi,9.5,10.5,0,3
Gent_0,Kortrijk,Gent,10.0,10.5,0,3
Gent_2,Kortrijk,Gent,10.0,10.5,0,3
Charleroi_2,Namur,Charleroi,10.1,10.6,1,3
Namur_1,Charleroi,Namur,10.1,10.6,1,3
Charleroi_0,Charleroi,Brussel,9.799999999999999,10.799999999999999,3,3
Kortrijk_1,Kortrijk,Ronse,10.299999999999999,10.799999999999999,3,3
Brugge_1,Brugge,Gent,10.299999999999999,11.049999999999999,3,3
Antwerpen_1,Brussel,Antwerpen,10.299999999999999,11.049999999999999,3,3
Gent_1,Brussel,Gent,10.299999999999999,11.049999999999999,3,3
Kortrijk_2,Kortrijk,Ronse,10.599999999999998,11.099999999999998,3,3
Mons_2,Mons,Charleroi,10.799999999999999,11.299999999999999,3,3
Gent_0,Gent,Brugge,10.799999999999999,11.549999999999999,3,3
Gent_2,Gent,Antwerpen,10.799999999999999,11.549999999999999,3,3
Kortrijk_1,Ronse,Kortrijk,11.5,12.0,0,3
Kortrijk_2,Ronse,Kortrijk,11.5,12.0,0,3
Brussel_0,Brussel,Gent,11.399999999999997,12.149999999999997,3,3
Brussel_1,Brussel,Charleroi,11.299999999999999,12.299999999999999,3,3
Gent_1,Gent,Kortrijk,11.799999999999999,12.299999999999999,3,3
Mons_2,Charleroi,Mons,12.0,12.5,0,3
Antwerpen_2,Antwerpen,Gent,11.799999999999999,12.549999999999999,3,3
Brussel_2,Brussel,Antwerpen,11.799999999999999,12.549999999999999,3,3
Brugge_1,Gent,Brugge,11.799999999999999,12.549999999999999,3,3
Charleroi_0,Brussel,Charleroi,11.6,12.6,1,3
Gent_2,Antwerpen,Gent,12.0,12.75,0,3
Charleroi_1,Charleroi,Brussel,11.799999999999999,12.799999999999999,3,3
Gent_0,Brugge,Gent,12.2,12.95,2,3
Brussel_0,Gent,Brussel,12.5,13.25,0,3
