truckname,startnode,endnode,starttime,endtime,load,capacity
Brugge_0,Brugge,Gent,1.8000000000000003,2.5500000000000003,3,3
Antwerpen_0,Antwerpen,Brussel,2.3000000000000003,3.0500000000000003,3,3
Brugge_0,Gent,Brugge,3.0,3.75,0,3
Mons_0,Mons,Charleroi,3.3000000000000003,3.8000000000000003,3,3
Gent_0,Gent,Kortrijk,3.3000000000000003,3.8000000000000003,3,3
Antwerpen_1,Antwerpen,Gent,3.3000000000000003,4.050000000000001,3,3
Antwerpen_0,Brussel,Antwerpen,3.8000000000000003,4.550000000000001,3,3
Namur_0,Namur,Charleroi,4.299999999999999,4.799999999999999,3,3
Gent_0,Kortrijk,Gent,4.5,5.0,0,3
Mons_0,Charleroi,Mons,4.5,5.0,0,3
Gent_1,Gent,Brussel,4.299999999999999,5.049999999999999,3,3
Kortrijk_0,Kortrijk,Ronse,4.799999999999999,5.299999999999999,3,3
Namur_1,Namur,Charleroi,4.799999999999999,5.299999999999999,3,3
Gent_2,Gent,Kortrijk,4.799999999999999,5.299999999999999,3,3
Antwerpen_1,Gent,Antwerpen,4.6,5.35,1,3
Charleroi_0,Charleroi,Brussel,4.799999999999999,5.799999999999999,3,3
Namur_0,Charleroi,Namur,5.5,6.0,0,3
Brussel_0,Brussel,Gent,5.299999999999999,6.049999999999999,3,3
Gent_1,Brussel,Gent,5.6,6.35,1,3
Kortrijk_0,Ronse,Kortrijk,6.0,6.5,0,3
Gent_2,Kortrijk,Gent,6.0,6.5,0,3
Namur_1,Charleroi,Namur,6.0,6.5,0,3
Charleroi_1,Charleroi,Brussel,5.799999999999999,6.799999999999999,3,3
Kortrijk_1,Kortrijk,Ronse,6.299999999999999,6.799999999999999,3,3
Ronse_0,Ronse,Mons,6.299999999999999,7.049999999999999,3,3
Antwerpen_2,Antwerpen,Gent,6.299999999999999,7.049999999999999,3,3
Charleroi_2,Charleroi,Brussel,6.299999999999999,7.299999999999999,3,3
Brussel_0,Gent,Brussel,6.799999999999999,7.549999999999999,3,3
Brussel_1,Brussel,Antwerpen,6.799999999999999,7.549999999999999,3,3
Gent_0,Gent,Brugge,6.799999999999999,7.549999999999999,3,3
Charleroi_0,Brussel,Charleroi,6.699999999999999,7.699999999999999,2,3
Kortrijk_1,Ronse,Kortrijk,7.5,8.0,0,3
Antwerpen_0,Antwerpen,Brussel,7.299999999999999,8.049999999999999,3,3
Brussel_2,Brussel,Gent,7.299999999999999,8.049999999999999,3,3
Gent_1,Gent,Antwerpen,7.299999999999999,8.049999999999999,3,3
Ronse_0,Mons,Ronse,7.5,8.25,0,3
Antwerpen_2,Gent,Antwerpen,7.5,8.25,0,3
Mons_1,Mons,Charleroi,7.799999999999999,8.299999999999999,3,3
Charleroi_1,Brussel,Charleroi,7.5,8.5,0,3
Brugge_1,Brugge,Gent,7.799999999999999,8.549999999999999,3,3
Gent_2,Gent,Brussel,7.799999999999999,8.549999999999999,3,3
Brussel_1,Antwerpen,Brussel,8.0,8.75,0,3
Brussel_0,Brussel,Gent,8.299999999999999,9.049999999999999,3,3
Charleroi_2,Brussel,Charleroi,8.1,9.1,1,3
Gent_0,Brugge,Gent,8.5,9.25,0,3
Gent_1,Antwerpen,Gent,8.7,9.45,2,3
Antwerpen_0,Brussel,Antwerpen,8.7,9.45,2,3
Mons_1,Charleroi,Mons,9.0,9.5,0,3
Brussel_2,Gent,Brussel,8.799999999999999,9.549999999999999,3,3
Brugge_1,Gent,Brugge,9.2,9.95,2,3
Gent_2,Brussel,Gent,9.299999999999999,10.049999999999999,3,3
Brussel_1,Brussel,Gent,9.299999999999999,10.049999999999999,3,3
Charleroi_0,Charleroi,Brussel,9.299999999999999,10.299999999999999,3,3
Charleroi_1,Charleroi,Namur,9.799999999999999,10.299999999999999,3,3
Gent_0,Gent,Kortrijk,9.949999999999998,10.449999999999998,3,3
Antwerpen_1,Antwerpen,Gent,9.799999999999999,10.549999999999999,3,3
Brussel_0,Gent,Brussel,9.799999999999999,10.549999999999999,3,3
Namur_2,Namur,Charleroi,10.299999999999999,10.799999999999999,3,3
Mons_2,Mons,Charleroi,10.299999999999999,10.799999999999999,3,3
Gent_1,Gent,Kortrijk,10.299999999999999,10.799999999999999,3,3
Brussel_2,Brussel,Gent,10.299999999999999,11.049999999999999,3,3
Gent_0,Kortrijk,Gent,11.0,11.5,0,3
Gent_2,Gent,Brugge,10.799999999999999,11.549999999999999,3,3
Charleroi_1,Namur,Charleroi,11.1,11.6,1,3
Brussel_1,Gent,Brussel,11.1,11.85,1,3
Kortrijk_2,Kortrijk,Ronse,11.399999999999997,11.899999999999997,3,3
Namur_2,Charleroi,Namur,11.5,12.0,0,3
Mons_2,Charleroi,Mons,11.5,12.0,0,3
Gent_1,Kortrijk,Gent,11.5,12.0,0,3
Antwerpen_1,Gent,Antwerpen,11.299999999999999,12.049999999999999,3,3
Brussel_0,Brussel,Antwerpen,11.299999999999999,12.049999999999999,3,3
Charleroi_0,Brussel,Charleroi,11.299999999999999,12.299999999999999,3,3
Kortrijk_0,Kortrijk,Ronse,11.799999999999999,12.299999999999999,3,3
Charleroi_2,Charleroi,Brussel,11.399999999999997,12.399999999999997,3,3
Brussel_2,Gent,Brussel,11.7,12.45,2,3
Brugge_2,Brugge,Gent,11.799999999999999,12.549999999999999,3,3
Antwerpen_2,Antwerpen,Gent,11.799999999999999,12.549999999999999,3,3
