duetime,startnode,endnode,starttime,arrivaltime,transporttime,handlingtime,hops
2.15,Gent,Antwerpen,0.15,2.1500000000000004,0.75,0.40000000000000036,1
2.5300000000000002,Gent,Brussel,0.53,2.1500000000000004,0.75,0.40000000000000036,1
2.35,Gent,Antwerpen,0.35,2.2500000000000004,0.75,0.5000000000000004,1
4.55,Gent,Antwerpen,0.55,2.3500000000000005,0.75,0.6000000000000005,1
2.24,Brussel,Antwerpen,0.24,2.8000000000000003,0.75,0.5500000000000003,1
3.24,Brussel,Antwerpen,1.24,2.9000000000000004,0.75,0.6500000000000004,1
4.04,Brussel,Antwerpen,1.04,3.0000000000000004,0.75,0.7500000000000004,1
4.29,Gent,Brussel,1.29,3.1500000000000004,0.75,0.40000000000000036,1
5.24,Brussel,Antwerpen,0.24,3.1500000000000004,0.75,0.40000000000000036,1
5.78,Brussel,Antwerpen,1.78,3.2500000000000004,0.75,0.5000000000000004,1
5.83,Brussel,Antwerpen,1.83,3.3500000000000005,0.75,0.6000000000000005,1
3.4299999999999997,Antwerpen,Brussel,1.43,3.8000000000000003,0.75,0.5500000000000003,1
5.470000000000001,Antwerpen,Brussel,2.47,3.9000000000000004,0.75,0.6500000000000008,1
8.29,Antwerpen,Brussel,2.29,4.0,0.75,0.7500000000000004,1
4.5,Antwerpen,Brussel,2.5,4.399999999999999,0.7500000000000004,0.6499999999999986,1
5.93,Antwerpen,Brussel,2.93,4.499999999999998,0.7500000000000004,0.7499999999999982,1
8.65,Antwerpen,Brussel,2.65,4.599999999999998,0.7500000000000004,0.8499999999999979,1
8.75,Antwerpen,Brussel,2.75,4.6999999999999975,0.75,0.4499999999999975,1
5.12,Brussel,Antwerpen,3.12,4.75,0.7499999999999996,0.5,1
8.96,Antwerpen,Brussel,2.96,4.799999999999997,0.75,0.5499999999999972,1
5.24,Brussel,Antwerpen,3.24,4.85,0.7499999999999996,0.5999999999999996,1
6.13,Brussel,Brugge,1.13,4.949999999999999,1.5,0.39999999999999947,2
