truckname,startnode,endnode,starttime,endtime,load,capacity
Vienna_0,Vienna,Prague,4.6000000000000005,8.600000000000001,3,3
Lyon_0,Lyon,Paris,7.6000000000000005,12.600000000000001,3,3
Vienna_1,Vienna,Prague,9.599999999999998,13.599999999999998,3,3
Vienna_0,Prague,Vienna,10.0,14.0,0,3
Vienna_2,Vienna,Prague,12.599999999999998,16.599999999999998,3,3
Paris_0,Paris,Brussels,13.799999999999997,17.799999999999997,3,3
Lyon_0,Paris,Lyon,14.0,19.0,0,3
Vienna_1,Prague,Vienna,15.0,19.0,0,3
Berlin_0,Berlin,Prague,16.599999999999998,20.599999999999998,3,3
Munich_0,Munich,Paris,12.599999999999998,21.599999999999998,3,3
Vienna_2,Prague,Vienna,18.0,22.0,0,3
Lyon_1,Lyon,Paris,17.599999999999998,22.599999999999998,3,3
Paris_0,Brussels,Paris,19.0,23.0,0,3
Rotterdam_0,Rotterdam,Brussels,22.599999999999998,24.599999999999998,3,3
Berlin_0,Prague,Berlin,22.0,26.0,0,3
Paris_1,Paris,Munich,17.599999999999998,26.599999999999998,3,3
Prague_0,Prague,Munich,22.599999999999998,26.599999999999998,3,3
Paris_2,Paris,Brussels,24.199999999999992,28.199999999999992,3,3
Rotterdam_0,Brussels,Rotterdam,26.4,28.4,2,3
Lyon_1,Paris,Lyon,24.0,29.0,0,3
Vienna_3,Vienna,Prague,25.599999999999998,29.599999999999998,3,3
Munich_1,Munich,Paris,21.599999999999998,30.599999999999998,3,3
Brussels_0,Brussels,Paris,26.999999999999996,30.999999999999996,3,3
Prague_0,Munich,Prague,28.0,32.0,0,3
Munich_0,Paris,Munich,23.599999999999994,32.599999999999994,2,3
Berlin_1,Berlin,Prague,28.599999999999998,32.599999999999994,3,3
Paris_2,Brussels,Paris,29.0,33.0,0,3
Munich_4,Munich,Vienna,29.599999999999994,34.599999999999994,3,3
Munich_3,Munich,Milan,28.999999999999996,35.0,3,3
Vienna_3,Prague,Vienna,31.0,35.0,0,3
Munich_2,Munich,Paris,26.599999999999998,35.599999999999994,3,3
Brussels_0,Paris,Brussels,32.60000000000001,36.60000000000001,2,3
Paris_1,Munich,Paris,28.4,37.4,2,3
Lyon_2,Lyon,Paris,32.60000000000001,37.60000000000001,3,3
Berlin_1,Prague,Berlin,34.0,38.0,0,3
Paris_3,Paris,Lyon,33.20000000000002,38.20000000000002,3,3
Prague_1,Prague,Munich,34.60000000000001,38.60000000000001,3,3
Rotterdam_1,Rotterdam,Brussels,36.60000000000001,38.60000000000001,3,3
Brussels_1,Brussels,Rotterdam,37.60000000000002,39.60000000000002,3,3
Vienna_4,Vienna,Prague,35.80000000000001,39.80000000000001,3,3
Munich_4,Vienna,Munich,36.0,41.0,0,3
Munich_1,Paris,Munich,32.2,41.2,1,3
Munich_3,Milan,Munich,36.0,42.0,0,3
Rotterdam_1,Brussels,Rotterdam,40.2,42.2,1,3
Brussels_1,Rotterdam,Brussels,41.400000000000006,43.400000000000006,2,3
Paris_4,Paris,Brussels,39.60000000000001,43.60000000000001,3,3
Paris_3,Lyon,Paris,39.0,44.0,0,3
Lyon_2,Paris,Lyon,39.0,44.0,0,3
Prague_1,Munich,Prague,40.0,44.0,0,3
Lyon_3,Lyon,Milan,39.60000000000001,44.60000000000001,3,3
Vienna_0,Vienna,Prague,40.60000000000001,44.60000000000001,3,3
Brussels_2,Brussels,Paris,40.80000000000001,44.80000000000001,3,3
Vienna_4,Prague,Vienna,41.0,45.0,0,3
Rotterdam_2,Rotterdam,Hamburg,40.80000000000004,45.80000000000004,3,3
Munich_2,Paris,Munich,37.2,46.2,1,3
Munich_0,Munich,Milan,40.60000000000001,46.60000000000001,3,3
Munich_4,Munich,Vienna,42.60000000000001,47.60000000000001,3,3
Brussels_3,Brussels,Rotterdam,46.000000000000014,48.000000000000014,3,3
Rotterdam_3,Rotterdam,Hamburg,43.60000000000001,48.60000000000001,3,3
Paris_4,Brussels,Paris,45.400000000000006,49.400000000000006,2,3
Vienna_1,Vienna,Prague,45.60000000000001,49.60000000000001,3,3
Vienna_0,Prague,Vienna,46.0,50.0,0,3
Brussels_2,Paris,Brussels,46.0,50.0,0,3
Lyon_3,Milan,Lyon,46.0,51.0,0,3
Brussels_3,Rotterdam,Brussels,49.2,51.2,1,3
Paris_0,Paris,Lyon,46.60000000000001,51.60000000000001,3,3
Rotterdam_2,Hamburg,Rotterdam,47.0,52.0,0,3
Munich_1,Munich,Paris,44.60000000000001,53.60000000000001,3,3
Munich_0,Milan,Munich,48.0,54.0,0,3
Munich_4,Vienna,Munich,49.0,54.0,0,3
Rotterdam_4,Rotterdam,Hamburg,49.80000000000001,54.80000000000001,3,3
Rotterdam_3,Hamburg,Rotterdam,50.0,55.0,0,3
Vienna_1,Prague,Vienna,51.0,55.0,0,3
Berlin_2,Berlin,Prague,52.60000000000001,56.60000000000001,3,3
Paris_2,Paris,Munich,49.60000000000001,58.60000000000001,3,3
Paris_0,Lyon,Paris,53.60000000000001,58.60000000000001,3,3
Lyon_4,Lyon,Milan,54.20000000000002,59.20000000000002,3,3
Rotterdam_4,Hamburg,Rotterdam,56.0,61.0,0,3
Vienna_2,Vienna,Prague,57.60000000000001,61.60000000000001,3,3
Berlin_2,Prague,Berlin,58.0,62.0,0,3
Prague_2,Prague,Munich,58.60000000000001,62.60000000000001,3,3
Paris_1,Paris,Brussels,59.800000000000026,63.800000000000026,3,3
Munich_1,Paris,Munich,55.400000000000006,64.4,2,3
Berlin_3,Berlin,Prague,60.60000000000001,64.60000000000001,3,3
Lyon_4,Milan,Lyon,60.0,65.0,0,3
Munich_2,Munich,Vienna,60.60000000000001,65.60000000000001,3,3
Munich_3,Munich,Paris,57.60000000000001,66.60000000000001,3,3
Vienna_3,Vienna,Prague,62.60000000000001,66.60000000000001,3,3
Vienna_2,Prague,Vienna,63.0,67.0,0,3
Prague_2,Munich,Prague,64.0,68.0,0,3
Paris_2,Munich,Paris,60.0,69.0,0,3
Paris_1,Brussels,Paris,65.2,69.2,1,3
Vienna_4,Vienna,Prague,65.60000000000001,69.60000000000001,3,3
Berlin_3,Prague,Berlin,66.0,70.0,0,3
Munich_0,Munich,Milan,64.60000000000001,70.60000000000001,3,3
Prague_3,Prague,Munich,66.60000000000001,70.60000000000001,3,3
Munich_4,Munich,Vienna,66.60000000000001,71.60000000000001,3,3
Munich_2,Vienna,Munich,67.0,72.0,0,3
Vienna_3,Prague,Vienna,68.0,72.0,0,3
Vienna_0,Vienna,Prague,68.60000000000001,72.60000000000001,3,3
Vienna_4,Prague,Vienna,71.0,75.0,0,3
