truckname,startnode,endnode,starttime,endtime,load,capacity
Vienna_0,Vienna,Prague,2.6000000000000005,6.6000000000000005,3,3
Berlin_0,Berlin,Prague,4.6000000000000005,8.600000000000001,3,3
Vienna_1,Vienna,Prague,4.6000000000000005,8.600000000000001,3,3
Paris_0,Paris,Brussels,4.6000000000000005,8.600000000000001,3,3
Vienna_2,Vienna,Prague,7.6000000000000005,11.600000000000001,3,3
Vienna_0,Prague,Vienna,8.0,12.0,0,3
Lyon_0,Lyon,Paris,7.6000000000000005,12.600000000000001,3,3
Munich_0,Munich,Paris,4.6000000000000005,13.600000000000001,3,3
Paris_0,Brussels,Paris,10.0,14.0,0,3
Berlin_0,Prague,Berlin,10.0,14.0,0,3
Vienna_1,Prague,Vienna,10.0,14.0,0,3
Berlin_1,Berlin,Prague,10.599999999999998,14.599999999999998,3,3
Prague_0,Prague,Munich,10.599999999999998,14.599999999999998,3,3
Vienna_3,Vienna,Prague,11.599999999999998,15.599999999999998,3,3
Berlin_2,Berlin,Prague,12.599999999999998,16.599999999999998,3,3
Vienna_4,Vienna,Prague,12.599999999999998,16.599999999999998,3,3
Paris_3,Paris,Brussels,12.599999999999998,16.599999999999998,3,3
Vienna_2,Prague,Vienna,13.0,17.0,0,3
Vienna_0,Vienna,Prague,13.599999999999998,17.599999999999998,3,3
Munich_1,Munich,Paris,9.599999999999998,18.599999999999998,3,3
Paris_1,Paris,Munich,9.599999999999998,18.599999999999998,3,3
Vienna_1,Vienna,Prague,14.599999999999998,18.599999999999998,3,3
Paris_0,Paris,Brussels,14.99999999999999,18.99999999999999,3,3
Lyon_0,Paris,Lyon,14.0,19.0,0,3
Berlin_1,Prague,Berlin,16.0,20.0,0,3
Prague_0,Munich,Prague,16.0,20.0,0,3
Paris_2,Paris,Munich,11.599999999999998,20.599999999999998,3,3
Rotterdam_0,Rotterdam,Brussels,18.599999999999998,20.599999999999998,3,3
Prague_1,Prague,Munich,16.799999999999994,20.799999999999994,3,3
Vienna_3,Prague,Vienna,17.0,21.0,0,3
Lyon_1,Lyon,Paris,16.599999999999998,21.599999999999998,3,3
Vienna_2,Vienna,Prague,17.599999999999998,21.599999999999998,3,3
Paris_3,Brussels,Paris,18.0,22.0,0,3
Berlin_2,Prague,Berlin,18.0,22.0,0,3
Vienna_4,Prague,Vienna,18.0,22.0,0,3
Paris_4,Paris,Munich,13.199999999999996,22.199999999999996,3,3
Munich_2,Munich,Milan,16.599999999999998,22.599999999999998,3,3
Brussels_0,Brussels,Rotterdam,20.599999999999998,22.599999999999998,3,3
Vienna_0,Prague,Vienna,19.0,23.0,0,3
Prague_2,Prague,Munich,19.199999999999985,23.199999999999985,3,3
Vienna_1,Prague,Vienna,20.0,24.0,0,3
Paris_0,Brussels,Paris,20.0,24.0,0,3
Rotterdam_0,Brussels,Rotterdam,22.0,24.0,0,3
Munich_0,Paris,Munich,15.599999999999998,24.599999999999998,3,3
Berlin_3,Berlin,Prague,20.599999999999998,24.599999999999998,3,3
Vienna_3,Vienna,Prague,21.599999999999998,25.599999999999998,3,3
Munich_4,Munich,Vienna,20.799999999999997,25.799999999999997,3,3
Prague_1,Munich,Prague,22.0,26.0,0,3
Brussels_0,Rotterdam,Brussels,24.0,26.0,0,3
Brussels_1,Brussels,Paris,22.599999999999998,26.599999999999998,3,3
Vienna_4,Vienna,Prague,22.599999999999998,26.599999999999998,3,3
Vienna_2,Prague,Vienna,23.0,27.0,0,3
Munich_3,Munich,Paris,18.599999999999998,27.599999999999998,3,3
Berlin_4,Berlin,Prague,23.599999999999998,27.599999999999998,3,3
Vienna_0,Vienna,Prague,23.599999999999998,27.599999999999998,3,3
Lyon_1,Paris,Lyon,23.0,28.0,0,3
Prague_2,Munich,Prague,24.0,28.0,0,3
Paris_0,Paris,Brussels,24.599999999999998,28.599999999999998,3,3
Vienna_1,Vienna,Prague,24.599999999999998,28.599999999999998,3,3
Paris_1,Munich,Paris,20.2,29.2,1,3
Munich_1,Paris,Munich,20.599999999999998,29.599999999999998,3,3
Rotterdam_1,Rotterdam,Hamburg,24.599999999999998,29.599999999999998,3,3
Munich_2,Milan,Munich,24.0,30.0,0,3
Berlin_3,Prague,Berlin,26.0,30.0,0,3
Prague_3,Prague,Munich,26.799999999999994,30.799999999999994,3,3
Vienna_3,Prague,Vienna,27.0,31.0,0,3
Paris_2,Munich,Paris,22.2,31.2,1,3
Munich_0,Munich,Vienna,26.599999999999998,31.599999999999998,3,3
Lyon_2,Lyon,Paris,26.599999999999998,31.599999999999998,3,3
Vienna_2,Vienna,Prague,27.599999999999998,31.599999999999998,3,3
Paris_3,Paris,Munich,22.799999999999994,31.799999999999994,3,3
Munich_4,Vienna,Munich,27.0,32.0,0,3
Vienna_4,Prague,Vienna,28.0,32.0,0,3
Paris_4,Munich,Paris,23.2,32.2,1,3
Brussels_1,Paris,Brussels,28.799999999999994,32.8,3,3
Berlin_4,Prague,Berlin,29.0,33.0,0,3
Vienna_0,Prague,Vienna,29.0,33.0,0,3
Prague_4,Prague,Munich,29.99999999999999,33.999999999999986,3,3
Paris_0,Brussels,Paris,30.0,34.0,0,3
Vienna_1,Prague,Vienna,30.0,34.0,0,3
Berlin_0,Berlin,Prague,30.599999999999998,34.599999999999994,3,3
Rotterdam_2,Rotterdam,Brussels,32.60000000000001,34.60000000000001,3,3
Lyon_3,Lyon,Paris,30.599999999999998,35.599999999999994,3,3
Vienna_3,Vienna,Prague,31.599999999999998,35.599999999999994,3,3
Munich_2,Munich,Vienna,30.799999999999994,35.8,3,3
Rotterdam_1,Hamburg,Rotterdam,31.0,36.0,0,3
Prague_3,Munich,Prague,32.0,36.0,0,3
Paris_2,Paris,Brussels,32.800000000000004,36.800000000000004,3,3
Vienna_4,Vienna,Prague,32.800000000000004,36.800000000000004,3,3
Vienna_2,Prague,Vienna,33.0,37.0,0,3
Vienna_0,Vienna,Prague,33.60000000000001,37.60000000000001,3,3
Rotterdam_3,Rotterdam,Brussels,35.60000000000001,37.60000000000001,3,3
Munich_1,Munich,Milan,31.99999999999999,37.999999999999986,3,3
Munich_0,Vienna,Munich,33.0,38.0,0,3
Rotterdam_2,Brussels,Rotterdam,36.2,38.2,1,3
Munich_3,Paris,Munich,29.599999999999998,38.599999999999994,3,3
Paris_4,Paris,Brussels,34.60000000000001,38.60000000000001,3,3
Lyon_2,Paris,Lyon,33.600000000000016,38.600000000000016,3,3
Prague_4,Munich,Prague,35.0,39.0,0,3
Munich_4,Munich,Milan,33.2,39.2,3,3
Paris_1,Paris,Munich,30.599999999999998,39.599999999999994,3,3
Berlin_1,Berlin,Prague,35.60000000000001,39.60000000000001,3,3
Berlin_0,Prague,Berlin,36.0,40.0,0,3
Prague_0,Prague,Munich,36.80000000000001,40.80000000000001,3,3
Brussels_2,Brussels,Paris,36.80000000000001,40.80000000000001,3,3
Vienna_3,Prague,Vienna,37.0,41.0,0,3
Rotterdam_3,Brussels,Rotterdam,39.60000000000002,41.60000000000002,2,3
Munich_2,Vienna,Munich,37.0,42.0,0,3
Lyon_3,Paris,Lyon,37.0,42.0,0,3
Vienna_4,Prague,Vienna,38.0,42.0,0,3
Paris_2,Brussels,Paris,38.40000000000002,42.40000000000002,1,3
Berlin_2,Berlin,Prague,38.60000000000001,42.60000000000001,3,3
Vienna_1,Vienna,Prague,38.60000000000001,42.60000000000001,3,3
Paris_3,Munich,Paris,33.80000000000001,42.80000000000001,3,3
Vienna_0,Prague,Vienna,39.0,43.0,0,3
Munich_0,Munich,Vienna,38.60000000000001,43.60000000000001,3,3
Paris_0,Paris,Munich,35.20000000000002,44.20000000000002,3,3
Paris_4,Brussels,Paris,40.400000000000006,44.400000000000006,2,3
Berlin_3,Berlin,Prague,40.60000000000001,44.60000000000001,3,3
Munich_1,Milan,Munich,39.0,45.0,0,3
Berlin_1,Prague,Berlin,41.0,45.0,0,3
Lyon_4,Lyon,Milan,40.60000000000001,45.60000000000001,3,3
Vienna_2,Vienna,Prague,41.60000000000001,45.60000000000001,3,3
Prague_1,Prague,Munich,41.60000000000001,45.60000000000001,3,3
Munich_3,Munich,Vienna,40.80000000000001,45.80000000000001,3,3
Munich_4,Milan,Munich,40.0,46.0,0,3
Prague_0,Munich,Prague,42.0,46.0,0,3
Berlin_4,Berlin,Prague,42.60000000000001,46.60000000000001,3,3
Brussels_2,Paris,Brussels,42.60000000000001,46.60000000000001,3,3
Vienna_3,Vienna,Prague,43.60000000000001,47.60000000000001,3,3
Berlin_2,Prague,Berlin,44.0,48.0,0,3
Vienna_1,Prague,Vienna,44.0,48.0,0,3
Munich_2,Munich,Milan,42.60000000000001,48.60000000000001,3,3
Lyon_0,Lyon,Paris,43.60000000000001,48.60000000000001,3,3
Rotterdam_4,Rotterdam,Hamburg,43.60000000000001,48.60000000000001,3,3
Prague_2,Prague,Munich,44.60000000000001,48.60000000000001,3,3
Munich_0,Vienna,Munich,45.0,50.0,0,3
Berlin_3,Prague,Berlin,46.0,50.0,0,3
Paris_1,Munich,Paris,41.800000000000026,50.800000000000026,2,3
Prague_3,Prague,Munich,46.800000000000026,50.800000000000026,3,3
Vienna_2,Prague,Vienna,47.0,51.0,0,3
Prague_1,Munich,Prague,47.0,51.0,0,3
Munich_1,Munich,Vienna,46.000000000000014,51.000000000000014,3,3
Vienna_4,Vienna,Prague,47.00000000000003,51.00000000000003,3,3
Paris_4,Paris,Lyon,46.60000000000001,51.60000000000001,3,3
Lyon_4,Milan,Lyon,47.0,52.0,0,3
Munich_3,Vienna,Munich,47.0,52.0,0,3
Berlin_4,Prague,Berlin,48.0,52.0,0,3
Munich_4,Munich,Vienna,47.20000000000003,52.20000000000003,3,3
Prague_4,Prague,Munich,48.800000000000026,52.800000000000026,3,3
Vienna_3,Prague,Vienna,49.0,53.0,0,3
Paris_2,Paris,Munich,44.00000000000003,53.00000000000003,3,3
Vienna_0,Vienna,Prague,49.60000000000001,53.60000000000001,3,3
Paris_3,Paris,Munich,44.60000000000004,53.60000000000004,3,3
Prague_2,Munich,Prague,50.0,54.0,0,3
Paris_0,Munich,Paris,45.400000000000006,54.400000000000006,2,3
Berlin_0,Berlin,Prague,50.60000000000001,54.60000000000001,3,3
Vienna_1,Vienna,Prague,50.60000000000001,54.60000000000001,3,3
Rotterdam_4,Hamburg,Rotterdam,50.0,55.0,0,3
Lyon_0,Paris,Lyon,50.60000000000001,55.60000000000001,3,3
Vienna_2,Vienna,Prague,51.60000000000001,55.60000000000001,3,3
Munich_2,Milan,Munich,50.0,56.0,0,3
Vienna_4,Prague,Vienna,52.0,56.0,0,3
Prague_3,Munich,Prague,52.0,56.0,0,3
Munich_0,Munich,Milan,50.60000000000001,56.60000000000001,3,3
Vienna_3,Vienna,Prague,53.60000000000001,57.60000000000001,3,3
Lyon_1,Lyon,Paris,52.800000000000026,57.800000000000026,3,3
Munich_1,Vienna,Munich,53.0,58.0,0,3
Munich_4,Vienna,Munich,53.0,58.0,0,3
Paris_4,Lyon,Paris,53.0,58.0,0,3
Prague_4,Munich,Prague,54.0,58.0,0,3
Munich_3,Munich,Milan,52.60000000000001,58.60000000000001,3,3
Lyon_2,Lyon,Milan,53.60000000000001,58.60000000000001,3,3
Vienna_0,Prague,Vienna,55.0,59.0,0,3
Paris_0,Paris,Brussels,55.60000000000001,59.60000000000001,3,3
Berlin_0,Prague,Berlin,56.0,60.0,0,3
Vienna_1,Prague,Vienna,56.0,60.0,0,3
Vienna_4,Vienna,Prague,56.60000000000001,60.60000000000001,3,3
Vienna_2,Prague,Vienna,57.0,61.0,0,3
Prague_0,Prague,Munich,57.00000000000004,61.00000000000004,3,3
Paris_1,Paris,Munich,52.60000000000001,61.60000000000001,3,3
Berlin_1,Berlin,Prague,57.60000000000001,61.60000000000001,3,3
Lyon_3,Lyon,Milan,57.60000000000001,62.60000000000001,3,3
Munich_2,Munich,Milan,56.60000000000002,62.60000000000002,3,3
Vienna_3,Prague,Vienna,59.0,63.0,0,3
Munich_1,Munich,Vienna,58.60000000000001,63.60000000000001,3,3
Vienna_0,Vienna,Prague,59.60000000000001,63.60000000000001,3,3
Munich_0,Milan,Munich,58.0,64.0,0,3
Lyon_1,Paris,Lyon,59.0,64.0,0,3
Paris_2,Munich,Paris,55.60000000000001,64.60000000000001,3,3
Vienna_1,Vienna,Prague,60.60000000000001,64.60000000000001,3,3
Berlin_2,Berlin,Prague,60.60000000000001,64.60000000000001,3,3
Lyon_2,Milan,Lyon,60.0,65.0,0,3
Paris_0,Brussels,Paris,61.0,65.0,0,3
Paris_3,Munich,Paris,56.000000000000014,65.00000000000001,2,3
Munich_4,Munich,Milan,59.20000000000002,65.20000000000002,3,3
Lyon_4,Lyon,Paris,60.60000000000001,65.60000000000001,3,3
Vienna_2,Vienna,Prague,61.60000000000001,65.60000000000001,3,3
Munich_3,Milan,Munich,60.0,66.0,0,3
Vienna_4,Prague,Vienna,62.0,66.0,0,3
Prague_0,Munich,Prague,62.0,66.0,0,3
Berlin_1,Prague,Berlin,63.0,67.0,0,3
Vienna_3,Vienna,Prague,63.60000000000001,67.60000000000001,3,3
Prague_1,Prague,Munich,63.60000000000001,67.60000000000001,3,3
Paris_4,Paris,Munich,59.00000000000004,68.00000000000004,3,3
Rotterdam_0,Rotterdam,Brussels,66.60000000000001,68.60000000000001,3,3
Lyon_3,Milan,Lyon,64.0,69.0,0,3
Vienna_0,Prague,Vienna,65.0,69.0,0,3
Munich_0,Munich,Vienna,64.60000000000001,69.60000000000001,3,3
Munich_2,Milan,Munich,64.0,70.0,0,3
Munich_1,Vienna,Munich,65.0,70.0,0,3
Vienna_1,Prague,Vienna,66.0,70.0,0,3
Berlin_2,Prague,Berlin,66.0,70.0,0,3
Vienna_4,Vienna,Prague,66.60000000000001,70.60000000000001,3,3
Rotterdam_1,Rotterdam,Brussels,68.60000000000001,70.60000000000001,3,3
Vienna_2,Prague,Vienna,67.0,71.0,0,3
Prague_2,Prague,Munich,67.00000000000004,71.00000000000004,3,3
Munich_4,Milan,Munich,66.0,72.0,0,3
Lyon_4,Paris,Lyon,67.0,72.0,0,3
Paris_3,Paris,Brussels,68.00000000000006,72.00000000000006,3,3
Rotterdam_0,Brussels,Rotterdam,70.4,72.4,2,3
Paris_1,Munich,Paris,63.60000000000001,72.60000000000001,3,3
Munich_3,Munich,Milan,66.60000000000001,72.60000000000001,3,3
Rotterdam_2,Rotterdam,Brussels,70.60000000000001,72.60000000000001,3,3
Vienna_3,Prague,Vienna,69.0,73.0,0,3
Prague_1,Munich,Prague,69.0,73.0,0,3
Berlin_3,Berlin,Prague,69.60000000000001,73.60000000000001,3,3
Vienna_0,Vienna,Prague,69.60000000000001,73.60000000000001,3,3
Rotterdam_1,Brussels,Rotterdam,72.0,74.0,0,3
Paris_0,Paris,Munich,65.80000000000003,74.80000000000003,3,3
Vienna_1,Vienna,Prague,70.80000000000003,74.80000000000003,3,3
Brussels_3,Brussels,Paris,71.00000000000001,75.00000000000001,3,3
Munich_2,Munich,Vienna,70.60000000000001,75.60000000000001,3,3
Vienna_2,Vienna,Prague,71.60000000000001,75.60000000000001,3,3
Berlin_4,Berlin,Prague,71.60000000000001,75.60000000000001,3,3
Munich_0,Vienna,Munich,71.0,76.0,0,3
Vienna_4,Prague,Vienna,72.0,76.0,0,3
Prague_2,Munich,Prague,72.0,76.0,0,3
Rotterdam_2,Brussels,Rotterdam,74.0,76.0,0,3
Paris_2,Paris,Munich,67.40000000000005,76.40000000000005,3,3
Brussels_4,Brussels,Paris,72.60000000000001,76.60000000000001,3,3
Munich_1,Munich,Milan,71.20000000000002,77.20000000000002,3,3
Lyon_0,Lyon,Paris,72.60000000000001,77.60000000000001,3,3
Berlin_0,Berlin,Prague,73.60000000000001,77.60000000000001,3,3
Vienna_3,Vienna,Prague,73.60000000000001,77.60000000000001,3,3
Paris_4,Munich,Paris,69.60000000000001,78.60000000000001,3,3
Paris_1,Paris,Brussels,74.60000000000001,78.60000000000001,3,3
Paris_3,Brussels,Paris,74.60000000000001,78.60000000000001,3,3
Berlin_3,Prague,Berlin,75.0,79.0,0,3
Vienna_0,Prague,Vienna,75.0,79.0,0,3
Munich_3,Milan,Munich,74.0,80.0,0,3
Vienna_1,Prague,Vienna,76.0,80.0,0,3
Prague_3,Prague,Munich,76.00000000000004,80.00000000000004,3,3
Brussels_3,Paris,Brussels,76.60000000000001,80.60000000000001,3,3
Vienna_2,Prague,Vienna,77.0,81.0,0,3
Munich_4,Munich,Paris,72.60000000000001,81.60000000000001,3,3
Berlin_1,Berlin,Prague,77.60000000000001,81.60000000000001,3,3
Munich_2,Vienna,Munich,77.0,82.0,0,3
Berlin_4,Prague,Berlin,78.0,82.0,0,3
